Pitch / microtone style,Length,MIDI note number,Intervals,Bend
[,,,,
F,1,53,,
G,8,55,4,
Ak,4,56,3,2048
Bb,4,58,3,0
Ak,1,56,-3,2048
G,8,55,-3,0
Ak,4,56,3,2048
Bb,4,58,3,0
Ak,1,56,-3,2048
G,8,55,-3,0
,,,,
Ak,4,56,3,2048
Bb,4,58,3,0
C,1,60,4,
Bb,8,58,-4,
,,,,
Ak,4,56,-3,2048
Ak,4,56,0,2048
Bb,1,58,3,0
Ak,2,56,-3,2048
G,8,55,-3,0
],,,,
[,,,,
Bb,1,58,6,
Ak,2,56,-3,2048
G,8,55,-3,0
,,,,
C,1,60,10,
Bb,2,58,-4,
Ak,8,56,-3,2048
Bb,1,58,3,0
Ak,2,56,-3,2048
G,8,55,-3,0
,,,,
C,2,60,10,
C,1,60,0,
Bb,2,58,-4,
Ak,8,56,-3,2048
Bb,2,58,3,0
Bb,1,58,0,
Ak,2,56,-3,2048
G,8,55,-3,0
,,,,
Ak,1,56,3,2048
Bb,1,58,3,0
C,2,60,4,
C,1,60,0,
Bb,2,58,-4,
Ak,8,56,-3,2048
G,1,55,-3,0
Ak,1,56,3,2048
Bb,2,58,3,0
Bb,1,58,0,
Ak,2,56,-3,2048
G,4,55,-3,0
],,,,
,,,,
[,,,,
Bb,1,58,6,
Ak,2,56,-3,2048
G,2,55,-3,0
Bb,1,58,6,
Ak,2,56,-3,2048
G,2,55,-3,0
Ak,8,56,3,2048
,,,,
[,,,,
F,1,53,-7,0
F,1,53,0,
F,1,53,0,
G,2,55,4,
G,1,55,0,
F,1,53,-4,
G,2,55,4,
F,1,53,-4,
G,2,55,4,
G,4,55,0,
C,4,60,10,
G,8,55,-10,
],,,,
],,,,
