Pitch / microtone style,Length,MIDI note number,Intervals,Bend
[,,,,
[,,,,
F,2,53,,
G,2,55,4,
Ak,2,56,3,2048
Bb,4,58,3,0
Ak,2,56,-3,2048
G,2,55,-3,0
Ak,4,56,3,2048
G,4,55,-3,0
],,,,
,,,,
[,,,,
Ak,2,56,3,2048
Bb,4,58,3,0
C,2,60,4,
Bb,4,58,-4,
Ak,2,56,-3,2048
Bb,2,58,3,0
Ak,4,56,-3,2048
G,4,55,-3,0
],,,,
,,,,
[,,,,
Bb,2,58,6,
C,4,60,4,
Dk,2,61,3,2048
C,4,60,-3,0
Bb,2,58,-4,
C,2,60,4,
Bb,4,58,-4,
Ak,4,56,-3,2048
,,,,0
Ak,2,56,0,2048
Bb,4,58,3,0
C,2,60,4,
Bb,4,58,-4,
Ak,2,56,-3,2048
Bb,2,58,3,0
Ak,4,56,-3,2048
G,4,55,-3,0
],,,,
],,,,
,,,,
[,,,,
F,2,53,-4,
Bb,2,58,10,
Bb,2,58,0,
Bb,2,58,0,
C,4,60,4,
Bb,2,58,-4,
C,2,60,4,
Bb,4,58,-4,
Ak,4,56,-3,2048
,,,,
[,,,,
Bb,2,58,3,0
C,4,60,4,
C,2,60,0,
Bb,4,58,-4,
Bb,2,58,0,
C,2,60,4,
Bb,4,58,-4,
Ak,4,56,-3,2048
,,,,0
Ak,2,56,0,2048
Bb,4,58,3,0
C,2,60,4,
Bb,4,58,-4,
Ak,2,56,-3,2048
Bb,2,58,3,0
Ak,4,56,-3,2048
G,8,55,-3,0
],,,,
],,,,
,,,,
[,,,,
F,2,53,-4,
Bb,2,58,10,
Bb,2,58,0,
Bb,2,58,0,
C,4,60,4,
C,2,60,0,
Dk,2,61,3,2048
C,4,60,-3,0
C,4,60,0,
,,,,
Dk,2,61,3,2048
C,4,60,-3,0
Dk,2,61,3,2048
C,4,60,-3,0
Dk,1,61,3,2048
C,1,60,-3,0
Dk,1,61,3,2048
Eb,1,63,3,0
Dk,4,61,-3,2048
C,4,60,-3,0
,,,,
Bb,2,58,-4,
C,4,60,4,
C,2,60,0,
C,4,60,0,
C,1,60,0,
Bb,1,58,-4,
C,1,60,4,
Dk,1,61,3,2048
C,4,60,-3,0
Bb,8,58,-4,
Ak,1,56,-3,2048
G,1,55,-3,0
Ak,4,56,3,2048
G,4,55,-3,0
],,,,
,,,,
[,,,,
F,2,53,-4,
Bb,2,58,10,
Bb,2,58,0,
Bb,2,58,0,
C,4,60,4,
Bb,2,58,-4,
C,2,60,4,
Bb,4,58,-4,
Ak,4,56,-3,2048
,,,,
Bb,2,58,3,0
C,4,60,4,
C,2,60,0,
Bb,4,58,-4,
Bb,2,58,0,
C,2,60,4,
Bb,4,58,-4,
Ak,4,56,-3,2048
,,,,0
Ak,2,56,0,2048
Bb,4,58,3,0
C,2,60,4,
Bb,4,58,-4,
Ak,2,56,-3,2048
Bb,2,58,3,0
Ak,4,56,-3,2048
G,8,55,-3,0
],,,,
,,,,
[,,,,
C,2,60,10,
Bb,1,58,-4,
C,2,60,4,
Ak,1,56,-7,2048
Bb,2,58,3,0
G,1,55,-6,
Ak,2,56,3,2048
F,1,53,-7,0
G,8,55,4,
,,,,
Dk,2,61,13,2048
C,1,60,-3,0
Dk,2,61,3,2048
Bb,1,58,-7,0
C,2,60,4,
Ak,1,56,-7,2048
Bb,2,58,3,0
G,1,55,-6,
Ak,4,56,3,2048
,,,,
C,2,60,7,0
Bb,1,58,-4,
C,2,60,4,
Ak,1,56,-7,2048
Bb,2,58,3,0
G,1,55,-6,
Ak,2,56,3,2048
F,1,53,-7,0
G,8,55,4,
],,,,
,,,,
[,,,,
Bb,1,58,6,
Ak,2,56,-3,2048
G,2,55,-3,0
Bb,1,58,6,
Ak,2,56,-3,2048
G,2,55,-3,0
Bb,1,58,6,
Ak,2,56,-3,2048
G,2,55,-3,0
Ak,8,56,3,2048
,,,,
F,1,53,-7,0
F,1,53,0,
F,1,53,0,
G,2,55,4,
G,1,55,0,
F,1,53,-4,
G,2,55,4,
F,1,53,-4,
G,2,55,4,
G,4,55,0,
C,4,60,10,
G,8,55,-10,
],,,,
