Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,[,,,,
,Dk,1,61,,2048
,C,2,60,-3,0
,C,2,60,0,
,Bb,8,58,-4,
,Ak,8,56,-3,2048
,,,,,0
,Dk,1,61,10,2048
,C,2,60,-3,0
,C,2,60,0,
,Bb,8,58,-4,
,Ak,8,56,-3,2048
,],,,,0
,,,,,
,[,,,,
,Ak,1,56,0,2048
,Bb,1,58,3,0
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,F,1,53,-14,
,C,1,60,14,
,Bb,1,58,-4,
,F,1,53,-10,
,Bb,1,58,10,
,Ak,1,56,-3,2048
,F,1,53,-7,0
,C,1,60,14,
,Bb,1,58,-4,
,F,1,53,-10,
,Bb,1,58,10,
,Ak,1,56,-3,2048
,F,1,53,-7,0
,C,1,60,14,
,Bb,1,58,-4,
,F,1,53,-10,
,Bb,1,58,10,
,Ak,1,56,-3,2048
,F,1,53,-7,0
,],,,,
,,,,,
,[,,,,
,G,1,55,4,
,Ak,1,56,3,2048
,Bb,1,58,3,0
,Bb,1,58,0,
,G,1,55,-6,
,Ak,1,56,3,2048
,Bb,1,58,3,0
,Bb,1,58,0,
,G,1,55,-6,
,Ak,1,56,3,2048
,Bb,1,58,3,0
,Bb,1,58,0,
,Ak,1,56,-3,2048
,Bb,1,58,3,0
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,4,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,Ak,1,56,-3,2048
,G,1,55,-3,0
,Ak,2,56,3,2048
,Ak,2,56,0,2048
,G,8,55,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,Bb,8,58,6,
,Bb,2,58,0,
,C,2,60,4,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,Dk,1,61,0,2048
,C,1,60,-6,0
,Bb,4,58,-4,
,,,,,
,Ak,2,56,-3,2048
,Bb,2,58,3,0
,C,2,60,4,
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,C,2,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,Ak,4,56,-3,2048
,],,,,
,,,,,
,[,,,,
,G,1,55,-3,0
,Ak,1,56,3,2048
,Bb,1,58,3,0
,Bb,1,58,0,
,G,1,55,-6,
,Ak,1,56,3,2048
,Bb,1,58,3,0
,Bb,1,58,0,
,G,1,55,-6,
,Ak,1,56,3,2048
,Bb,1,58,3,0
,Bb,1,58,0,
,Ak,1,56,-3,2048
,Bb,1,58,3,0
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,1,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,C,4,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,Ak,1,56,-3,2048
,G,1,55,-3,0
,Ak,2,56,3,2048
,Ak,2,56,0,2048
,G,8,55,-3,0
,],,,,
,],,,,
