 ,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,[,,,,
,Bb,2,58,,
,C,2,60,4,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,],,,,
,,,,,
,[,,,,
,Bb,2,58,-4,
,Dk,4,61,7,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,Dk,4,61,7,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,],,,,
,,,,,
,[,,,,
,Bb,2,58,-4,
,C,4,60,4,
,Bb,2,58,-4,
,C,4,60,4,
,Bb,4,58,-4,
,],,,,
,[,,,,
,Bb,1,58,0,
,C,1,60,4,
,Bb,2,58,-4,
,Bb,2,58,0,
,,,,,
,C,1,60,4,
,Bb,2,58,-4,
,Bb,2,58,0,
,C,1,60,4,
,Bb,2,58,-4,
,Bb,2,58,0,
,Bb,8,58,0,
,Ak,4,56,-3,2048
,G,8,55,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,Bb,2,58,6,
,C,2,60,4,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,Dk,4,61,7,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,Dk,4,61,7,2048
,C,2,60,-3,0
,Eb,4,63,6,
,Dk,4,61,-3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,C,4,60,4,
,Bb,2,58,-4,
,C,4,60,4,
,Bb,4,58,-4,
,Bb,1,58,0,
,C,1,60,4,
,Bb,2,58,-4,
,Bb,2,58,0,
,,,,,
,C,1,60,4,
,Bb,2,58,-4,
,Bb,2,58,0,
,C,1,60,4,
,Bb,2,58,-4,
,Bb,2,58,0,
,Bb,8,58,0,
,Ak,4,56,-3,2048
,G,8,55,-3,0
,],,,,
,,,,,
,[,,,,
,Bb,2,58,6,
,C,2,60,4,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,Dk,4,61,7,2048
,C,2,60,-3,0
,Dk,4,61,3,2048
,C,4,60,-3,0
,,,,,
,Bb,2,58,-4,
,Dk,4,61,7,2048
,C,2,60,-3,0
,Eb,4,63,6,
,Dk,2,61,-3,2048
,F+1,4,65,7,0
,Eb,4,63,-4,
