Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,[,,,,
,DN,2,62,,
,F+1,2,65,6,
,Eb,2,63,-4,
,DN,8,62,-2,
,DN,2,62,0,
,Eb,2,63,2,
,DN,2,62,-2,
,C,8,60,-4,
,C,2,60,0,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,8,58,-4,
,],,,,
,,,,,
,[,,,,
,DN,2,62,8,
,Eb,2,63,2,
,DN,2,62,-2,
,C,8,60,-4,
,C,2,60,0,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,8,58,-4,
,Bb,2,58,0,
,C,2,60,4,
,Bb,2,58,-4,
,Ak,8,56,-3,2048
,,,,,
,C,2,60,7,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,8,58,-4,
,Bb,2,58,0,
,C,2,60,4,
,Bb,2,58,-4,
,Ak,8,56,-3,2048
,Ak,2,56,0,2048
,Bb,2,58,3,0
,Ak,2,56,-3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,2,56,3,2048
,Ak,2,56,0,2048
,G,8,55,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,[,,,,
,DN,2,62,14,
,F+1,2,65,6,
,Eb,2,63,-4,
,F+1,2,65,4,
,Eb,2,63,-4,
,DN,8,62,-2,
,DN,2,62,0,
,Eb,2,63,2,
,DN,2,62,-2,
,Eb,2,63,2,
,DN,2,62,-2,
,C,8,60,-4,
,C,2,60,0,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,8,58,-4,
,],,,,
,,,,,
,[,,,,
,DN,2,62,8,
,Eb,2,63,2,
,DN,2,62,-2,
,Eb,2,63,2,
,DN,2,62,-2,
,C,8,60,-4,
,C,2,60,0,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,8,58,-4,
,Bb,2,58,0,
,C,2,60,4,
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,Ak,8,56,-3,2048
,,,,,
,C,2,60,7,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,8,58,-4,
,Bb,2,58,0,
,C,2,60,4,
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,Ak,8,56,-3,2048
,Ak,2,56,0,2048
,Bb,2,58,3,0
,Ak,2,56,-3,2048
,Bb,2,58,3,0
,Ak,1,56,-3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,1,56,3,2048
,G,1,55,-3,0
,Ak,2,56,3,2048
,Ak,2,56,0,2048
,G,8,55,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,[,,,,
,F+1,1,65,20,
