UnnAkmed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,[,,,,
,Eb,2,63,,
,Eb,1,63,0,
,DN,8,62,-2,
,],,,,
,,,,,
,[,,,,
,DN,2,62,0,
,F+1,2,65,6,
,Eb,2,63,-4,
,DN,2,62,-2,
,Eb,2,63,2,
,DN,2,62,-2,
,C,2,60,-4,
,Dk,2,61,3,2048
,C,8,60,-3,0
,],,,,
,,,,,
,[,,,,
,C,2,60,0,
,Eb,2,63,6,
,Dk,2,61,-3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Bb,2,58,-4,
,C,2,60,4,
,Bb,8,58,-4,
,,,,,
,Bb,2,58,0,
,Dk,2,61,7,2048
,C,2,60,-3,0
,Bb,2,58,-4,
,C,2,60,4,
,Bb,2,58,-4,
,Ak,2,56,-3,2048
,Bb,2,58,3,0
,Ak,8,56,-3,2048
,,,,,
,Ak,2,56,0,2048
,C,2,60,4,0
,Bb,2,58,-4,
,Ak,2,56,-3,2048
,Bb,2,58,3,0
,Ak,2,56,-3,2048
,G,2,55,-3,0
,Ak,2,56,3,2048
,Ak,2,56,0,2048
,G,8,55,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,G,1,55,0,
,G,1,55,0,
,F,1,53,-4,
,G,1,55,4,
,G,1,55,0,
,G,1,55,0,
,Ak,1,56,3,2048
,Ak,1,56,0,2048
,Ak,1,56,0,2048
,Bb,1,58,6,0
,Bb,1,58,0,
,,,,,
,Bb,1,58,0,
,C,1,60,4,
,C,1,60,0,
,C,1,60,0,
,Dk,1,61,3,2048
,Dk,1,61,0,2048
,Dk,1,61,0,2048
,Eb,1,63,3,0
,Eb,1,63,0,
,Eb,1,63,0,
,F+1,1,65,4,
,F+1,1,65,0,
,F+1,1,65,0,
,G+1,2,67,4,
,Ab+1,1,68,2,
,F+1,1,65,-6,
,G+1,2,67,4,
,G+1,8,67,0,
,],,,,
,,,,,
,[,,,,
,Ab+1,1,68,2,
,G+1,1,67,-2,
,F+1,1,65,-4,
,Eb,1,63,-4,
,F+1,1,65,4,
,G+1,8,67,4,
,],,,,
,,,,,
,[,,,,
,Ab+1,1,68,2,
,G+1,1,67,-2,
,F+1,1,65,-4,
,Eb,1,63,-4,
,F+1,1,65,4,
,G+1,8,67,4,
,Ab+1,1,68,2,
,G+1,1,67,-2,
,F+1,1,65,-4,
,Eb,1,63,-4,
,F+1,1,65,4,
,G+1,1,67,4,
,],,,,
,,,,,
,[,,,,
,Ab+1,1,68,2,
,G+1,1,67,-2,
,F+1,1,65,-4,
,Eb,1,63,-4,
,F+1,1,65,4,
,G+1,1,67,4,
,,,,,
,Ab+1,1,68,2,
,G+1,1,67,-2,
,F+1,1,65,-4,
,Eb,1,63,-4,
,F+1,2,65,4,
,G+1,2,67,4,
,],,,,
,,,,,
,[,,,,
,Ab+1,1,68,2,
,Bb+1,2,70,4,
,G+1,1,67,-6,
,Ab+1,2,68,2,
,F+1,1,65,-6,
,G+1,2,67,4,
,Eb,1,63,-8,
,F+1,2,65,4,
,Dk,1,61,-7,2048
,Eb,2,63,3,0
,[,,,,
,C,1,60,-6,
,Dk,1,61,3,2048
,C,1,60,-3,0
,Dk,1,61,3,2048
,C,1,60,-3,0
,Dk,1,61,3,2048
,C,1,60,-3,0
,Dk,2,61,3,2048
,Dk,2,61,0,2048
,C,8,60,-3,0
,],,,,
,],,,,
,,,,,
,[,,,,
,Bb,1,58,-4,
,Bb,1,58,0,
,Bb,1,58,0,
,C,1,60,4,
,C,1,60,0,
,C,1,60,0,
,Dk,1,61,3,2048
,Dk,1,61,0,2048
,Dk,1,61,0,2048
,Eb,1,63,3,0
,Eb,1,63,0,
,Eb,1,63,0,
,F+1,1,65,4,
,F+1,1,65,0,
,F+1,1,65,0,
,G+1,2,67,4,
,Ab+1,1,68,2,
,F+1,1,65,-6,
,G+1,2,67,4,
,G+1,8,67,0,
,],,,,
