Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,G+1,2,67,,
,G+1,2,67,0,
,G+1,4,67,0,
,G+1,4,67,0,
,G+1,2,67,0,
,G+1,2,67,0,
,G+1,4,67,0,
,G+1,4,67,0,
,],,,,
,[,,,,
,C,2,60,-14,
,G+1,2,67,14,
,G+1,4,67,0,
,G+1,4,67,0,
,D,2,62,-10,
,G+1,2,67,14,
,G+1,4,67,0,
,G+1,4,67,0,
,C,2,60,-14,
,G+1,2,67,10,
,G+1,4,67,0,
,G+1,4,67,0,
,D,2,62,-10,
,G+1,4,67,14,
,G+1,4,67,0,
,G+1,4,67,0,
,,,,,
,C,2,60,-14,
,G+1,2,67,14,
,D,2,62,-10,
,G+1,2,67,10,
,C,2,60,-14,
,G+1,2,67,14,
,D,2,62,-10,
,G+1,2,67,10,
,G+1,4,67,0,
,G+1,4,67,0,
,,,,,
,D,2,62,-10,
,G+1,2,67,10,
,C,2,60,-14,
,G+1,2,67,14,
,D,2,62,-10,
,G+1,2,67,10,
,C,2,60,-14,
,G+1,2,67,14,
,G+1,4,67,0,
,G+1,4,67,0,
,],,,,
,,,,,
,[,,,,
,G+1,2,67,0,
,F+1,2,65,-4,
,F+1,2,65,0,
,F+1,2,65,0,
,F+1,2,65,0,
,F,2,53,-24,
,Bb+1,2,70,34,
,Ak+1,2,68,-3,2048
,C+1,2,72,7,0
,Bb+1,4,70,-4,
,Ak+1,4,68,-3,2048
,G+1,4,67,-3,0
,F+1,4,65,-4,
,G+1,8,67,4,
,,,,,
,F,2,53,-28,
,C+1,2,72,38,
,Bb+1,2,70,-4,
,D+1,2,74,8,
,C+1,4,72,-4,
,Bb+1,4,70,-4,
,Ak+1,4,68,-3,2048
,G+1,4,67,-3,0
,,,,,
,F,2,53,-28,
,Bb+1,2,70,34,
,Ak+1,2,68,-3,2048
,C+1,2,72,7,0
,Bb+1,4,70,-4,
,Ak+1,4,68,-3,2048
,G+1,4,67,-3,0
,F+1,8,65,-4,
,],,,,
,,,,,
,[,,,,
,Bb+1,1,70,10,
,Bb+1,1,70,0,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,2,68,-3,2048
,Bb+1,2,70,3,0
,C+1,1,72,4,
,D+1,2,74,4,
,Bb+1,1,70,-8,
,C+1,2,72,4,
,Ak+1,1,68,-7,2048
,Bb+1,2,70,3,0
,G+1,1,67,-6,
,Ak+1,2,68,3,2048
,F+1,1,65,-7,0
,G+1,2,67,4,
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,8,67,0,
,],,,,
