Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,G+1,8,67,,
,Ek,8,63,-7,2048
,F+1,8,65,3,0
,D,8,62,-6,
,Ek,8,63,3,2048
,C,8,60,-7,0
,,,,,
,D,4,62,4,
,Ek,4,63,3,2048
,F+1,4,65,3,0
,G+1,4,67,4,
,Ak+1,4,68,3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,,,,,
,G+1,1,67,-3,0
,Ak+1,1,68,3,2048
,G+1,1,67,-3,0
,Ak+1,1,68,3,2048
,G+1,1,67,-3,0
,Ak+1,1,68,3,2048
,G+1,1,67,-3,0
,Ak+1,2,68,3,2048
,Ak+1,2,68,0,2048
,G+1,8,67,-3,0
,],,,,
,,,,,
,[,,,,
,C+1,2,72,10,
,C+1,1,72,0,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,Bb+1,2,70,0,
,Ak+1,8,68,-3,2048
,,,,,
,C+1,2,72,7,0
,C+1,1,72,0,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,Bb+1,2,70,0,
,Ak+1,8,68,-3,2048
,,,,,0
,Ak+1,1,68,0,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,D+1,1,74,4,
,C+1,1,72,-4,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,C+1,1,72,7,0
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,D+1,1,74,8,
,C+1,1,72,-4,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,C+1,1,72,7,0
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,D+1,1,74,8,
,C+1,1,72,-4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Eb+1,1,75,6,
,D+1,1,74,-2,
,C+1,1,72,-4,
,Bb+1,1,70,-4,
,D+1,1,74,8,
,C+1,1,72,-4,
,Bb+1,1,70,-4,
,,,,,
,Ak+1,1,68,-3,2048
,C+1,1,72,7,0
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,G+1,1,67,-3,0
,Bb+1,1,70,6,
,Ak+1,1,68,-3,2048
,G+1,4,67,-3,0
,F+1,8,65,-4,
,,,,,
,Bb+1,1,70,10,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,4,70,3,0
,Ak+1,1,68,-3,2048
,G+1,4,67,-3,0
,F+1,4,65,-4,
,,,,,
,Bb+1,1,70,10,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,,,,,
,[,,,,
,Ak+1,1,68,-3,2048
,C+1,1,72,7,0
,C+1,1,72,0,
,C+1,2,72,0,
,Bb+1,1,70,-4,
,D+1,1,74,8,
,D+1,1,74,0,
,D+1,2,74,0,
,C+1,2,72,-4,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,4,67,-3,0
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,4,67,0,
,,,,,
,F+1,1,65,-4,
,Ek,1,63,-3,2048
,F+1,1,65,3,0
,Ek,2,63,-3,2048
,F+1,2,65,3,0
,Ek,2,63,-3,2048
,F+1,2,65,3,0
,Ek,2,63,-3,2048
,F+1,2,65,3,0
,G+1,4,67,4,
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,8,67,0,
,],,,,
,],,,,
