Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,G+1,2,67,,
,Bb+1,2,70,6,
,Ak+1,2,68,-3,2048
,G+1,8,67,-3,0
,,,,,
,G+1,2,67,0,
,Bb+1,2,70,6,
,Ak+1,2,68,-3,2048
,G+1,8,67,-3,0
,,,,,
,Bb+1,1,70,6,
,Ak+1,1,68,-3,2048
,G+1,4,67,-3,0
,,,,,
,Bb+1,1,70,6,
,Ak+1,1,68,-3,2048
,G+1,4,67,-3,0
,,,,,
,Bb+1,1,70,6,
,Ak+1,1,68,-3,2048
,C+1,1,72,7,0
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,F+1,2,65,-4,
,Eb,8,63,-4,
,F+1,8,65,4,
,Eb,8,63,-4,
,F+1,8,65,4,
,Eb,2,63,-4,
,F+1,2,65,4,
,G+1,1,67,4,
,G+1,1,67,0,
,F+1,1,65,-4,
,G+1,1,67,4,
,F+1,2,65,-4,
,G+1,1,67,4,
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,8,67,0,
,],,,,
,,,,,
,[,,,,
,G+1,1,67,0,
,G+1,1,67,0,
,G+1,2,67,0,
,G+1,1,67,0,
,G+1,1,67,0,
,G+1,2,67,0,
,G+1,1,67,0,
,G+1,1,67,0,
,G+1,2,67,0,
,G+1,1,67,0,
,G+1,1,67,0,
,G+1,2,67,0,
,G+1,1,67,0,
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,1,67,0,
,F+1,1,65,-4,
,G+1,2,67,4,
,G+1,1,67,0,
,F+1,1,65,-4,
,G+1,1,67,4,
,Ab+1,1,68,2,
,G+1,1,67,-2,
,Bb+1,1,70,6,
,Ab+1,1,68,-4,
,G+1,2,67,-2,
,F+1,2,65,-4,
,G+1,8,67,4,
,],,,,
