Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,F+1,2,65,,
,F+1,1,65,0,
,F+1,8,65,0,
,Eb,1,63,-4,
,Dk,1,61,-3,2048
,C,4,60,-3,0
,,,,,
,F+1,2,65,10,
,F+1,1,65,0,
,F+1,8,65,0,
,Eb,1,63,-4,
,Dk,1,61,-3,2048
,C,4,60,-3,0
,,,,,
,F+1,1,65,10,
,F+1,1,65,0,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,Dk,2,61,-3,2048
,,,,,
,F+1,1,65,7,0
,F+1,1,65,0,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,Dk,2,61,-3,2048
,],,,,
,,,,,
,[,,,,
,Eb,1,63,3,0
,F+1,1,65,4,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,Dk,2,61,-3,2048
,,,,,
,Eb,1,63,3,0
,F+1,1,65,4,
,Eb,1,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,Dk,2,61,-3,2048
,],,,,
,,,,,
,[,,,,
,Eb,1,63,3,0
,F+1,2,65,4,
,G+1,1,67,4,
,F+1,2,65,-4,
,G+1,1,67,4,
,F+1,2,65,-4,
,G+1,1,67,4,
,F+1,2,65,-4,
,G+1,1,67,4,
,F+1,2,65,-4,
,G+1,1,67,4,
,F+1,1,65,-4,
,Eb,2,63,-4,
,F+1,1,65,4,
,Eb,1,63,-4,
,Dk,2,61,-3,2048
,Eb,1,63,3,0
,Dk,1,61,-3,2048
,Eb,4,63,3,0
,Dk,4,61,-3,2048
,Eb,4,63,3,0
,Dk,4,61,-3,2048
,,,,,
,Eb,1,63,3,0
,F+1,1,65,4,
,G+1,1,67,4,
,F+1,1,65,-4,
,Eb,1,63,-4,
,Dk,1,61,-3,2048
,C,1,60,-3,0
,Dk,2,61,3,2048
,Dk,2,61,0,2048
,C,8,60,-3,0
,],,,,
