Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,F+1,2,65,,
,F+1,1,65,0,
,F+1,8,65,0,
,Eb,1,63,-4,
,G+1,1,67,8,
,F+1,1,65,-4,
,Eb,2,63,-4,
,Dk,2,61,-3,2048
,C,2,60,-3,0
,Dk,1,61,3,2048
,Eb,8,63,3,0
,Dk,1,61,-3,2048
,F+1,1,65,7,0
,Eb,1,63,-4,
,F+1,1,65,4,
,Dk,1,61,-7,2048
,Eb,1,63,3,0
,C,1,60,-6,
,Dk,2,61,3,2048
,Dk,2,61,0,2048
,C,8,60,-3,0
,],,,,
,,,,,
,[,,,,
,G+1,2,67,14,
,G+1,1,67,0,
,G+1,8,67,0,
,F+1,1,65,-4,
,Ab+1,1,68,6,
,G+1,1,67,-2,
,F+1,2,65,-4,
,Eb,2,63,-4,
,Dk,2,61,-3,2048
,Eb,1,63,3,0
,F+1,8,65,4,
,,,,,
,Eb,1,63,-4,
,G+1,1,67,8,
,F+1,1,65,-4,
,Eb,2,63,-4,
,Dk,2,61,-3,2048
,C,2,60,-3,0
,Dk,1,61,3,2048
,Eb,8,63,3,0
,,,,,
,Dk,1,61,-3,2048
,F+1,1,65,7,0
,Eb,1,63,-4,
,F+1,1,65,4,
,Dk,1,61,-7,2048
,Eb,1,63,3,0
,C,1,60,-6,
,Dk,2,61,3,2048
,Dk,2,61,0,2048
,C,8,60,-3,0
,],,,,
,,,,,
,[,,,,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,F+1,1,65,7,0
,Ek,1,64,-1,2048
,Dk,1,61,-6,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,F+1,1,65,7,0
,Ek,1,64,-1,2048
,Dk,1,61,-6,2048
,C,2,60,-3,0
,,,,,
,Dk,2,61,3,2048
,F+1,1,65,7,0
,Ek,1,64,-1,2048
,Dk,1,61,-6,2048
,F+1,1,65,7,0
,Ek,1,64,-1,2048
,Dk,2,61,-6,2048
,F+1,1,65,7,0
,Ek,1,64,-1,2048
,Dk,1,61,-6,2048
,F+1,1,65,7,0
,F+1,1,65,0,
,F+1,2,65,0,
,Ek,1,64,-1,2048
,G+1,1,67,5,0
,G+1,1,67,0,
,G+1,2,67,0,
,F+1,2,65,-4,
,Ek,2,64,-1,2048
,Dk,2,61,-6,2048
,C,4,60,-3,0
,],,,,
,,,,,
,[,,,,
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,C,2,60,-3,0
,Dk,2,61,3,2048
,F+1,4,65,7,0
,F+1,2,65,0,
,F+1,1,65,0,
,Eb,1,63,-4,
,Dk,1,61,-3,2048
,Eb,2,63,3,0
,Eb,1,63,0,
,Dk,1,61,-3,2048
,C,1,60,-3,0
,Dk,2,61,3,2048
,Dk,1,61,0,2048
,C,1,60,-3,0
,Bb,1,58,-4,
,C,2,60,4,
,C,1,60,0,
,Bb,1,58,-4,
,Ak,1,56,-3,2048
,Bb,8,58,-3,0
,Ak,8,56,3,2048
,],,,,0
