Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,Bb+1,2.0,70.0,,
,Ak+1,2.0,68.0,-3.0,2048.0
,G+1,2.0,67.0,-3.0,0.0
,Ak+1,2.0,68.0,3.0,2048.0
,G+1,2.0,67.0,-3.0,0.0
,Ak+1,2.0,68.0,3.0,2048.0
,G+1,1.0,67.0,-3.0,0.0
,Ak+1,2.0,68.0,3.0,2048.0
,Ak+1,2.0,68.0,0.0,2048.0
,Ak+1,2.0,68.0,0.0,2048.0
,Ak+1,2.0,68.0,0.0,2048.0
,Ak+1,2.0,68.0,0.0,2048.0
,Ak+1,2.0,68.0,0.0,2048.0
,Ak+1,2.0,68.0,0.0,2048.0
,Ak+1,1.0,68.0,0.0,2048.0
,G+1,8.0,67.0,-3.0,0.0
,],,,,
,[,,,,
,Bb+1,1.0,70.0,6.0,
,Ak+1,4.0,68.0,-3.0,2048.0
,C+1,1.0,72.0,7.0,0.0
,Bb+1,4.0,70.0,-4.0,
,Bb+1,1.0,70.0,0.0,
,Ak+1,4.0,68.0,-3.0,2048.0
,Ak+1,1.0,68.0,0.0,2048.0
,G+1,4.0,67.0,-3.0,0.0
,],,,,
,,,,,
,[,,,,
,Ak+1,4.0,68.0,3.0,2048.0
,Bb+1,4.0,70.0,3.0,0.0
,Bb+1,1.0,70.0,0.0,
,C+1,1.0,72.0,4.0,
,Bb+1,2.0,70.0,-4.0,
,Ak+1,2.0,68.0,-3.0,2048.0
,Ak+1,1.0,68.0,0.0,2048.0
,Bb+1,1.0,70.0,3.0,0.0
,C+1,1.0,72.0,4.0,
,Ak+1,1.0,68.0,-7.0,2048.0
,Bb+1,1.0,70.0,3.0,0.0
,G+1,1.0,67.0,-6.0,
,Ak+1,1.0,68.0,3.0,2048.0
,F+1,1.0,65.0,-7.0,0.0
,G+1,2.0,67.0,4.0,
,G+1,8.0,67.0,0.0,
,],,,,
