Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,Bb+1,2,70,,
,C+1,4,72,4,
,Dk+1,2,73,3,2048
,C+1,4,72,-3,0
,Bb+1,2,70,-4,
,Dk+1,2,73,7,2048
,C+1,4,72,-3,0
,C+1,4,72,0,
,],,,,
,,,,,
,[,,,,
,Dk+1,2,73,3,2048
,C+1,4,72,-3,0
,Dk+1,2,73,3,2048
,C+1,4,72,-3,0
,Bb+1,2,70,-4,
,Dk+1,2,73,7,2048
,C+1,4,72,-3,0
,C+1,4,72,0,
,,,,,
,Ak+1,2,68,-7,2048
,Bb+1,2,70,3,0
,C+1,2,72,4,
,Dk+1,2,73,3,2048
,C+1,4,72,-3,0
,Bb+1,2,70,-4,
,Dk+1,2,73,7,2048
,C+1,4,72,-3,0
,C+1,4,72,0,
,,,,,
,Dk+1,2,73,3,2048
,C+1,4,72,-3,0
,Dk+1,2,73,3,2048
,Eb+1,4,75,3,0
,Eb+1,4,75,0,
,Dk+1,4,73,-3,2048
,C+1,8,72,-3,0
,,,,,
,F+2,2,77,10,
,Eb+1,2,75,-4,
,Dk+1,2,73,-3,2048
,Eb+1,2,75,3,0
,F+2,4,77,4,
,F+2,4,77,0,
,Eb+1,4,75,-4,
,Dk+1,4,73,-3,2048
,,,,,
,Eb+1,2,75,3,0
,Dk+1,2,73,-3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,Eb+1,4,75,3,0
,Eb+1,4,75,0,
,Dk+1,4,73,-3,2048
,C+1,8,72,-3,0
,,,,,
,F+2,2,77,10,
,Eb+1,2,75,-4,
,Dk+1,2,73,-3,2048
,Eb+1,2,75,3,0
,F+2,4,77,4,
,,,,,
,Eb+1,2,75,-4,
,F+2,2,77,4,
,G+2,4,79,4,
,G+2,4,79,0,
,F+2,4,77,-4,
,Eb+1,4,75,-4,
,,,,,
,F+2,2,77,4,
,Eb+1,2,75,-4,
,Dk+1,2,73,-3,2048
,Eb+1,2,75,3,0
,F+2,4,77,4,
,F+2,4,77,0,
,Eb+1,4,75,-4,
,Dk+1,4,73,-3,2048
,,,,,
,Eb+1,2,75,3,0
,Dk+1,2,73,-3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,Eb+1,4,75,3,0
,Eb+1,4,75,0,
,Dk+1,4,73,-3,2048
,C+1,8,72,-3,0
,],,,,
,,,,,
,[,,,,
,C+1,2,72,0,
,Dk+1,2,73,3,2048
,Eb+1,4,75,3,0
,Eb+1,4,75,0,
,Eb+1,4,75,0,
,Eb+1,4,75,0,
,Eb+1,4,75,0,
,Eb+1,4,75,0,
,,,,,
,Eb+1,4,75,0,
,Eb+1,2,75,0,
,Dk+1,2,73,-3,2048
,Eb+1,4,75,3,0
,Eb+1,2,75,0,
,Dk+1,2,73,-3,2048
,Eb+1,4,75,3,0
,Eb+1,2,75,0,
,Dk+1,2,73,-3,2048
,Dk+1,2,73,0,2048
,C+1,2,72,-3,0
,,,,,
,Dk+1,4,73,3,2048
,Dk+1,2,73,0,2048
,C+1,2,72,-3,0
,Dk+1,4,73,3,2048
,Dk+1,2,73,0,2048
,C+1,2,72,-3,0
,Dk+1,4,73,3,2048
