Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,Eb+1,2,75,,
,Dk+1,2,73,-3,2048
,Eb+1,2,75,3,0
,Dk+1,2,73,-3,2048
,Eb+1,2,75,3,0
,Dk+1,2,73,-3,2048
,Eb+1,4,75,3,0
,,,,,
,C+1,2,72,-6,
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,4,73,3,2048
,],,,,
,,,,,
,[,,,,
,C+1,2,72,-3,0
,Eb+1,2,75,6,
,Dk+1,2,73,-3,2048
,Eb+1,4,75,3,0
,,,,,
,C+1,2,72,-6,
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,4,73,3,2048
,,,,,
,C+1,2,72,-3,0
,F+2,2,77,10,
,Eb+1,2,75,-4,
,F+2,2,77,4,
,Eb+1,2,75,-4,
,F+2,2,77,4,
,Eb+1,2,75,-4,
,F+2,4,77,4,
,F+2,2,77,0,
,F+2,1,77,0,
,Eb+1,1,75,-4,
,Dk+1,1,73,-3,2048
,C+1,1,72,-3,0
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,Eb+1,4,75,3,0
,Dk+1,4,73,-3,2048
,],,,,0
,,,,,
,[,,,,
,Dk+1,1,73,0,2048
,Eb+1,1,75,3,0
,Dk+1,1,73,-3,2048
,Eb+1,1,75,3,0
,Dk+1,1,73,-3,2048
,Eb+1,1,75,3,0
,Dk+1,1,73,-3,2048
,Eb+1,2,75,3,0
,F+2,1,77,4,
,Eb+1,1,75,-4,
,Dk+1,1,73,-3,2048
,C+1,1,72,-3,0
,Dk+1,2,73,3,2048
,Dk+1,2,73,0,2048
,C+1,8,72,-3,0
,],,,,
