Unnamed: 0,Pitch / microtone style,Length,MIDI note number,Intervals,Bend
,[,,,,
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,2,72,4,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,1,72,0,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,4,67,-3,0
,,,,,
,C+1,1,72,10,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,1,70,0,
,Ak+1,2,68,-3,2048
,G+1,4,67,-3,0
,,,,,
,Dk+1,1,73,13,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,2,72,4,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,2,72,0,
,C+1,1,72,0,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,4,67,-3,0
,,,,,
,C+1,1,72,10,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,1,70,0,
,Ak+1,2,68,-3,2048
,G+1,4,67,-3,0
,],,,,
,,,,,
,[,,,,
,Bb+1,2,70,6,
,F+1,4,65,-10,
,Bb+1,1,70,10,
,Bb+1,1,70,0,
,Bb+1,1,70,0,
,Bb+1,2,70,0,
,F+1,4,65,-10,
,Bb+1,2,70,10,
,F+1,2,65,-10,
,Bb+1,2,70,10,
,F+1,2,65,-10,
,,,,,
,Bb+1,2,70,10,
,C+1,2,72,4,
,Dk+1,4,73,3,2048
,Dk+1,2,73,0,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,2,72,4,
,C+1,2,72,0,
,Bb+1,4,70,-4,
,,,,,
,Bb+1,2,70,0,
,C+1,2,72,4,
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,C+1,2,72,-3,0
,Dk+1,2,73,3,2048
,Dk+1,1,73,0,2048
,C+1,1,72,-3,0
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,1,72,4,
,Bb+1,1,70,-4,
,C+1,2,72,4,
,C+1,2,72,0,
,Bb+1,4,70,-4,
,],,,,
,,,,,
,[,,,,
,C+1,2,72,4,
,C+1,1,72,0,
,Bb+1,1,70,-4,
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,1,70,3,0
,Ak+1,1,68,-3,2048
,Bb+1,2,70,3,0
,,,,,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,C+1,1,72,4,
,Bb+1,2,70,-4,
,,,,,
,Bb+1,2,70,0,
,C+1,2,72,4,
,D+1,4,74,4,
,C+1,1,72,-4,
,Bb+1,2,70,-4,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,Bb+1,2,70,0,
,D+1,2,74,8,
,C+1,4,72,-4,
,Bb+1,2,70,-4,
,D+1,2,73,8,
,C+1,2,72,-4,
,Bb+1,2,70,-4,
,Ak+1,2,68,-3,2048
,G+1,2,67,-3,0
,Ak+1,1,68,3,2048
,F+1,1,65,-7,0
,G+1,2,67,4,
,F+1,1,65,-4,
,G+1,2,67,4,
,C+1,2,72,10,
,C+1,4,72,0,
,G+1,8,67,-10,
,G+1,8,67,0,
,],,,,
